Start,Value,End,Pollutant,Unit
2021-08-26 08:00:00,12.08,2021-08-26 09:00:00,6001,ug.m-3
2021-08-26 09:00:00,10.47,2021-08-26 10:00:00,6001,ug.m-3
2021-08-26 10:00:00,8.21,2021-08-26 11:00:00,6001,ug.m-3
2021-08-26 11:00:00,8.87,2021-08-26 12:00:00,6001,ug.m-3
2021-08-26 12:00:00,9.71,2021-08-26 13:00:00,6001,ug.m-3
2021-08-26 13:00:00,10.3,2021-08-26 14:00:00,6001,ug.m-3
2021-08-26 14:00:00,10.84,2021-08-26 15:00:00,6001,ug.m-3
2021-08-26 15:00:00,11.05,2021-08-26 16:00:00,6001,ug.m-3
2021-08-26 16:00:00,10.85,2021-08-26 17:00:00,6001,ug.m-3
2021-08-26 17:00:00,11.19,2021-08-26 18:00:00,6001,ug.m-3
2021-08-26 18:00:00,14.29,2021-08-26 19:00:00,6001,ug.m-3
2021-08-26 19:00:00,15.83,2021-08-26 20:00:00,6001,ug.m-3
2021-08-26 20:00:00,17.32,2021-08-26 21:00:00,6001,ug.m-3
2021-08-26 21:00:00,19.66,2021-08-26 22:00:00,6001,ug.m-3
2021-08-26 22:00:00,20.84,2021-08-26 23:00:00,6001,ug.m-3
2021-08-26 23:00:00,19.35,2021-08-27 00:00:00,6001,ug.m-3
2021-08-27 00:00:00,18.54,2021-08-27 01:00:00,6001,ug.m-3
2021-08-27 01:00:00,18.63,2021-08-27 02:00:00,6001,ug.m-3
2021-08-27 02:00:00,17.74,2021-08-27 03:00:00,6001,ug.m-3
2021-08-27 03:00:00,16.68,2021-08-27 04:00:00,6001,ug.m-3
2021-08-27 04:00:00,16.44,2021-08-27 05:00:00,6001,ug.m-3
2021-08-27 05:00:00,14.24,2021-08-27 06:00:00,6001,ug.m-3
2021-08-27 06:00:00,13.02,2021-08-27 07:00:00,6001,ug.m-3
2021-08-27 07:00:00,11.16,2021-08-27 08:00:00,6001,ug.m-3
2021-08-27 08:00:00,11.11,2021-08-27 09:00:00,6001,ug.m-3
