Ciudad,Fecha,NDBI
A Corua,2016-04-06,-0.16798500204708744
A Corua,2016-04-14,-0.15542313496111462
A Corua,2016-04-22,-0.1433845609203159
A Corua,2016-04-30,-0.09982520439957632
A Corua,2016-05-08,-0.10115422720779066
A Corua,2016-05-16,-0.1417182685545445
A Corua,2016-05-24,-0.18659217839203482
A Corua,2016-06-01,-0.18410702059673442
A Corua,2016-06-09,-0.19143844408178426
A Corua,2016-06-17,-0.1964938721942312
A Corua,2016-06-25,-0.22389478290577994
A Corua,2016-07-03,-0.16186305330835718
A Corua,2016-07-11,-0.12600287191214887
A Corua,2016-07-19,-0.07784512145128945
A Corua,2016-07-27,-0.08162750848373342
A Corua,2016-08-04,-0.059911544437969144
A Corua,2016-08-12,-0.11393120480662126
A Corua,2016-08-20,-0.08837285824938572
A Corua,2016-08-28,-0.07984443225883069
A Corua,2016-09-05,-0.017446066506028566
A Corua,2016-09-13,-0.0325923969425173
A Corua,2016-09-21,-0.053498443733268404
A Corua,2016-09-29,-0.066077418829623
A Corua,2016-10-07,-0.11440386087749647
A Corua,2016-10-15,-0.12636526166706977
A Corua,2016-10-23,-0.1666898846418523
A Corua,2016-10-31,-0.14959133125694782
A Corua,2016-11-08,-0.17028002310110568
A Corua,2016-11-16,-0.16227945953581516
A Corua,2016-11-24,-0.153747284678362
A Corua,2016-12-02,-0.14918193087036982
A Corua,2016-12-10,-0.12855054463446577
A Corua,2016-12-18,-0.13487443078845018
A Corua,2016-12-26,-0.13250590246611768
A Corua,2017-01-01,-0.19756658977445732
A Corua,2017-01-09,-0.19224187337386742
A Corua,2017-01-17,-0.1653818845999167
A Corua,2017-01-25,-0.0917025069684378
A Corua,2017-02-02,-0.11760718276652676
A Corua,2017-02-10,-0.15862941976042452
A Corua,2017-02-18,-0.17154072174838664
A Corua,2017-02-26,-0.16433315396624745
A Corua,2017-03-06,-0.1514989320059053
A Corua,2017-03-14,-0.15934084858473743
A Corua,2017-03-22,-0.14865475242283552
A Corua,2017-03-30,-0.1498975290016402
A Corua,2017-04-07,-0.14616410266471022
A Corua,2017-04-15,-0.15577983974048257
A Corua,2017-04-23,-0.17049065478912084
A Corua,2017-05-01,-0.20346756910854888
A Corua,2017-05-09,-0.20161346678998351
A Corua,2017-05-17,-0.17822080315604452
A Corua,2017-05-25,-0.16995094101393513
A Corua,2017-06-02,-0.15665401040970697
A Corua,2017-06-10,-0.1416459619577721
A Corua,2017-06-18,-0.08756546516810428
A Corua,2017-06-26,-0.07078105722747619
A Corua,2017-07-04,-0.07319058294256468
A Corua,2017-07-12,-0.07476757418382035
A Corua,2017-07-20,-0.07209690303497951
A Corua,2017-07-28,-0.049960066914665
A Corua,2017-08-05,-0.039004136088222
A Corua,2017-08-13,-0.004948566114250724
A Corua,2017-08-21,0.004190969145433311
A Corua,2017-08-29,0.005579546938502898
A Corua,2017-09-06,-0.03351080542626706
A Corua,2017-09-14,-0.05251692868697635
A Corua,2017-09-22,-0.05153334134906462
A Corua,2017-09-30,-0.03033639192915316
A Corua,2017-10-08,-0.045089767183952134
A Corua,2017-10-16,-0.07397917084789037
A Corua,2017-10-24,-0.09243621699274647
A Corua,2017-11-01,-0.09862189817505834
A Corua,2017-11-09,-0.07871909523382666
A Corua,2017-11-17,-0.08660906049109891
