Ciudad,Fecha,NDVI
A Corua,2019-07-12,4.9220000000000006e-05
A Corua,2019-07-28,4.572e-05
A Corua,2019-08-13,4.2220000000000006e-05
A Corua,2019-08-29,3.222e-05
A Corua,2019-09-14,3.431e-05
A Corua,2019-09-30,3.97e-05
A Corua,2019-10-16,3.8490000000000006e-05
A Corua,2019-11-01,3.6110000000000005e-05
A Corua,2019-11-17,3.373e-05
A Corua,2019-12-03,4.826e-05
A Corua,2019-12-19,4.7720000000000004e-05
A Corua,2020-01-01,4.054e-05
A Corua,2020-01-17,4.504e-05
A Corua,2020-02-02,5.605e-05
A Corua,2020-02-18,5.2720000000000003e-05
A Corua,2020-03-05,6.41e-05
A Corua,2020-03-21,4.7260000000000005e-05
A Corua,2020-04-06,5.0905e-05
A Corua,2020-04-22,5.455e-05
A Corua,2020-05-08,6.921000000000001e-05
A Corua,2020-05-24,4.427e-05
A Corua,2020-06-09,3.06e-05
A Corua,2020-06-25,4.0910000000000006e-05
A Corua,2020-07-11,3.88e-05
A Corua,2020-07-27,4.002e-05
A Corua,2020-08-12,4.124e-05
A Corua,2020-08-28,4.246e-05
A Corua,2020-09-13,6.141e-05
A Corua,2020-09-29,4.677e-05
A Corua,2020-10-15,6.613e-05
A Corua,2020-10-31,6.0697500000000006e-05
A Corua,2020-11-16,5.526500000000001e-05
A Corua,2020-12-02,4.98325e-05
A Corua,2020-12-18,4.44e-05
A Corua,2021-01-01,6.711e-05
A Corua,2021-01-17,4.7860000000000006e-05
A Corua,2021-02-02,5.512000000000001e-05
A Corua,2021-02-18,5.644e-05
A Corua,2021-03-06,5.533000000000001e-05
A Corua,2021-03-22,4.891e-05
A Corua,2021-04-07,4.5350000000000005e-05
A Corua,2021-04-23,4.355e-05
A Corua,2021-05-09,4.1750000000000005e-05
A Corua,2021-05-25,3.995e-05
A Corua,2021-06-10,4.958e-05
A Corua,2021-06-26,4.458e-05
A Corua,2021-07-12,4.9984999999999997e-05
A Corua,2021-07-28,5.5389999999999997e-05
A Corua,2021-08-13,3.9105e-05
A Corua,2021-08-29,2.282e-05
A Corua,2021-09-14,3.7195000000000006e-05
A Corua,2021-09-30,5.157000000000001e-05
A Corua,2021-10-16,5.441e-05
A Corua,2021-11-01,4.4290000000000005e-05
A Corua,2021-11-17,5.933000000000001e-05
A Corua,2021-12-03,4.224e-05
A Corua,2021-12-19,7.423e-05
A Corua,2022-01-01,5.105e-05
A Corua,2022-01-17,4.363000000000001e-05
A Corua,2022-02-02,5.4940000000000006e-05
A Corua,2022-02-18,2.9420000000000003e-05
A Corua,2022-03-06,3.378e-05
A Corua,2022-03-22,3.181e-05
A Corua,2022-04-07,4.908e-05
A Corua,2022-04-23,6.635e-05
A Corua,2022-05-09,4.969e-05
A Corua,2022-05-25,3.878e-05
A Corua,2022-06-10,4.465e-05
A Corua,2022-06-26,5.052e-05
A Corua,2022-07-12,4.4130000000000006e-05
A Corua,2022-07-28,2.994e-05
A Corua,2022-08-13,2.9180000000000002e-05
A Corua,2022-08-29,2.8420000000000002e-05
A Corua,2022-09-14,3.494e-05
A Corua,2022-09-30,4.2103333333333334e-05
A Corua,2022-10-16,4.9266666666666674e-05
A Corua,2022-11-01,5.643000000000001e-05
A Corua,2022-11-17,4.784e-05
A Corua,2022-12-03,4.1280000000000005e-05
A Corua,2022-12-19,6.242e-05
A Corua,2023-01-01,6.242e-05
A Corua,2023-01-17,3.404e-05
A Corua,2023-02-02,3.3700000000000006e-05
A Corua,2023-02-18,4.529e-05
A Corua,2023-03-06,3.453e-05
A Corua,2023-03-22,6.513000000000001e-05
A Corua,2023-04-07,3.6230000000000004e-05
A Corua,2023-04-23,4.5255e-05
A Corua,2023-05-09,5.4279999999999995e-05
A Corua,2023-05-25,4.8020000000000004e-05
A Corua,2023-06-10,3.293e-05
A Corua,2023-06-26,4.5010000000000004e-05
A Corua,2023-07-12,4.1620000000000005e-05
A Corua,2023-07-28,3.317e-05
A Corua,2023-08-13,4.0130000000000004e-05
A Corua,2023-08-29,4.0390000000000005e-05
A Corua,2023-09-14,4.0650000000000006e-05
A Corua,2023-09-30,4.0910000000000006e-05
A Corua,2023-10-16,3.9145000000000006e-05
A Corua,2023-11-01,3.7380000000000005e-05
A Corua,2023-11-17,5.175500000000001e-05
A Corua,2023-12-03,6.613e-05
A Corua,2023-12-19,5.2400000000000007e-05
A Corua,2024-01-01,5.177000000000001e-05
A Corua,2024-01-17,4.427e-05
A Corua,2024-02-02,3.016e-05
A Corua,2024-02-18,4.7215e-05
A Corua,2024-03-05,6.427e-05
A Corua,2024-03-21,6.554e-05
A Corua,2024-04-06,4.949e-05
A Corua,2024-04-22,4.854e-05
A Corua,2024-05-08,5.365e-05
A Corua,2024-05-24,3.7460000000000004e-05
A Corua,2024-06-09,5.336e-05
A Corua,2024-06-25,4.484e-05
A Corua,2024-07-11,3.6320000000000005e-05
A Corua,2024-07-27,4.394e-05
A Corua,2024-08-12,3.5310000000000006e-05
A Corua,2024-08-28,2.4670000000000003e-05
A Corua,2024-09-13,3.298e-05
A Corua,2024-09-29,4.442e-05
A Corua,2024-10-15,5.5860000000000004e-05
A Corua,2024-10-31,5.571000000000001e-05
A Corua,2024-11-16,7.035e-05
A Corua,2024-12-02,4.617e-05
A Corua,2024-12-18,6.679e-05
Albacete,2012-12-18,1.041e-05
Albacete,2013-01-01,1.149e-05
Albacete,2013-01-17,1.049e-05
Albacete,2013-02-02,1.221e-05
Albacete,2013-02-18,1.2100000000000001e-05
Albacete,2013-03-06,1.417e-05
Albacete,2013-03-22,1.267e-05
Albacete,2013-04-07,1.5190000000000002e-05
Albacete,2013-04-23,1.487e-05
Albacete,2013-05-09,1.437e-05
Albacete,2013-05-25,1.44e-05
Albacete,2013-06-10,1.699e-05
Albacete,2013-06-26,1.387e-05
Albacete,2013-07-12,1.23e-05
Albacete,2013-07-28,1.341e-05
Albacete,2013-08-13,1.621e-05
Albacete,2013-08-29,1.3320000000000001e-05
Albacete,2013-09-14,1.515e-05
Albacete,2013-09-30,1.2260000000000001e-05
Albacete,2013-10-16,1.183e-05
Albacete,2013-11-01,1.2889999999999999e-05
Albacete,2013-11-17,1.178e-05
Albacete,2013-12-03,1.126e-05
Albacete,2013-12-19,1.1255e-05
Albacete,2014-01-01,1.125e-05
Albacete,2014-01-17,1.095e-05
Albacete,2014-02-02,9.810000000000001e-06
Albacete,2014-02-18,1.13e-05
Albacete,2014-03-06,1.311e-05
Albacete,2014-03-22,1.3800000000000002e-05
Albacete,2014-04-07,1.485e-05
Albacete,2014-04-23,1.699e-05
Albacete,2014-05-09,1.234e-05
Albacete,2014-05-25,1.309e-05
Albacete,2014-06-10,1.619e-05
Albacete,2014-06-26,1.5340000000000002e-05
Albacete,2014-07-12,1.376e-05
Albacete,2014-07-28,1.5110000000000003e-05
Albacete,2014-08-13,1.341e-05
Albacete,2014-08-29,1.4840000000000002e-05
Albacete,2014-09-14,1.3480000000000001e-05
Albacete,2014-09-30,1.417e-05
Albacete,2014-10-16,1.338e-05
Albacete,2014-11-01,1.611e-05
Albacete,2014-11-17,1.0520000000000001e-05
Albacete,2014-12-03,1.156e-05
Albacete,2014-12-19,1.125e-05
Albacete,2015-01-01,1.075e-05
Albacete,2015-01-17,1.1190000000000001e-05
Albacete,2015-02-02,1.144e-05
Albacete,2015-02-18,1.29e-05
Albacete,2015-03-06,1.181e-05
Albacete,2015-03-22,1.3120000000000001e-05
Albacete,2015-04-07,1.561e-05
