Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD13Q1_061_Line_Y_250m,MOD13Q1_061_Sample_X_250m,MOD13Q1_061__250m_16_days_NDVI,MOD13Q1_061__250m_16_days_VI_Quality,MOD13Q1_061__250m_16_days_VI_Quality_bitmask,MOD13Q1_061__250m_16_days_VI_Quality_MODLAND,MOD13Q1_061__250m_16_days_VI_Quality_MODLAND_Description,MOD13Q1_061__250m_16_days_VI_Quality_VI_Usefulness,MOD13Q1_061__250m_16_days_VI_Quality_VI_Usefulness_Description,MOD13Q1_061__250m_16_days_VI_Quality_Aerosol_Quantity,MOD13Q1_061__250m_16_days_VI_Quality_Aerosol_Quantity_Description,MOD13Q1_061__250m_16_days_VI_Quality_Adjacent_cloud_detected,MOD13Q1_061__250m_16_days_VI_Quality_Adjacent_cloud_detected_Description,MOD13Q1_061__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction,MOD13Q1_061__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MOD13Q1_061__250m_16_days_VI_Quality_Mixed_Clouds,MOD13Q1_061__250m_16_days_VI_Quality_Mixed_Clouds_Description,MOD13Q1_061__250m_16_days_VI_Quality_Land/Water_Mask,MOD13Q1_061__250m_16_days_VI_Quality_Land/Water_Mask_Description,MOD13Q1_061__250m_16_days_VI_Quality_Possible_snow/ice,MOD13Q1_061__250m_16_days_VI_Quality_Possible_snow/ice_Description,MOD13Q1_061__250m_16_days_VI_Quality_Possible_shadow,MOD13Q1_061__250m_16_days_VI_Quality_Possible_shadow_Description
TFM,A Corua,43.337386,-8.40003,2013-08-29,h17v04,3198.0,1867.0,0.279,4168.0,0b0001000001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2013-09-14,h17v04,3198.0,1867.0,0.2487,4168.0,0b0001000001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2013-09-30,h17v04,3198.0,1867.0,0.2803,4113.0,0b0001000000010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2013-10-16,h17v04,3198.0,1867.0,0.4457,4109.0,0b0001000000001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2013-11-01,h17v04,3198.0,1867.0,0.6259,5410.0,0b0001010100100010,0b10,"Pixel produced, but most probably cloudy",0b1000,Decreasing quality,0b00,Climatology,0b1,Yes,0b0,No,0b1,Yes,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2013-11-17,h17v04,3198.0,1867.0,0.5726,4172.0,0b0001000001001100,0b00,VI produced with good quality,0b0011,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2013-12-03,h17v04,3198.0,1867.0,0.2703,4241.0,0b0001000010010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2013-12-19,h17v04,3198.0,1867.0,0.6492,4118.0,0b0001000000010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-01-01,h17v04,3198.0,1867.0,0.8035,4241.0,0b0001000010010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-01-17,h17v04,3198.0,1867.0,0.0481,4118.0,0b0001000000010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-02-02,h17v04,3198.0,1867.0,0.7644,37149.0,0b1001000100011101,0b01,"VI produced, but check other QA",0b0111,Decreasing quality,0b00,Climatology,0b1,Yes,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b1,Yes
TFM,A Corua,43.337386,-8.40003,2014-02-18,h17v04,3198.0,1867.0,0.4583,4110.0,0b0001000000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-03-06,h17v04,3198.0,1867.0,0.513,5206.0,0b0001010001010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b1,Yes,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-03-22,h17v04,3198.0,1867.0,0.4499,5146.0,0b0001010000011010,0b10,"Pixel produced, but most probably cloudy",0b0110,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b1,Yes,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-04-07,h17v04,3198.0,1867.0,0.4224,5206.0,0b0001010001010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b1,Yes,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-04-23,h17v04,3198.0,1867.0,0.4943,4373.0,0b0001000100010101,0b01,"VI produced, but check other QA",0b0101,Decreasing quality,0b00,Climatology,0b1,Yes,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-05-09,h17v04,3198.0,1867.0,0.6498,4168.0,0b0001000001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-05-25,h17v04,3198.0,1867.0,0.4006,4168.0,0b0001000001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-06-10,h17v04,3198.0,1867.0,0.2844,4164.0,0b0001000001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-06-26,h17v04,3198.0,1867.0,0.3502,4168.0,0b0001000001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-07-12,h17v04,3198.0,1867.0,0.2505,4168.0,0b0001000001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-07-28,h17v04,3198.0,1867.0,0.4464,4369.0,0b0001000100010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b00,Climatology,0b1,Yes,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-08-13,h17v04,3198.0,1867.0,0.355,4168.0,0b0001000001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-08-29,h17v04,3198.0,1867.0,0.2435,4164.0,0b0001000001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-09-14,h17v04,3198.0,1867.0,0.4599,4168.0,0b0001000001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-09-30,h17v04,3198.0,1867.0,0.5304,4109.0,0b0001000000001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-10-16,h17v04,3198.0,1867.0,0.4398,4168.0,0b0001000001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-11-01,h17v04,3198.0,1867.0,0.6074,4114.0,0b0001000000010010,0b10,"Pixel produced, but most probably cloudy",0b0100,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-11-17,h17v04,3198.0,1867.0,0.4215,4377.0,0b0001000100011001,0b01,"VI produced, but check other QA",0b0110,Decreasing quality,0b00,Climatology,0b1,Yes,0b0,No,0b0,No,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-12-03,h17v04,3198.0,1867.0,0.3929,5150.0,0b0001010000011110,0b10,"Pixel produced, but most probably cloudy",0b0111,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b1,Yes,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
TFM,A Corua,43.337386,-8.40003,2014-12-19,h17v04,3198.0,1867.0,0.5457,5154.0,0b0001010000100010,0b10,"Pixel produced, but most probably cloudy",0b1000,Decreasing quality,0b00,Climatology,0b0,No,0b0,No,0b1,Yes,0b010,Ocean coastlines and lake shorelines,0b0,No,0b0,No
